date,Robert Moore + metoo,Robert Moore + sexual harassment,Robert Moore + sexual,Robert Moore + healmetoo,Robert Moore + assault,Robert Moore + rape,Robert Moore + harassed,Sam Adams + metoo,Sam Adams + sexual harassment,Sam Adams + sexual,Sam Adams + healmetoo,Sam Adams + assault,Sam Adams + rape,Sam Adams + harassed,Steven Seagal + metoo,Steven Seagal + sexual harassment,Steven Seagal + sexual,Steven Seagal + healmetoo,Steven Seagal + assault,Steven Seagal + rape,Steven Seagal + harassed,Ed Murray + metoo,Ed Murray + sexual harassment,Ed Murray + sexual,Ed Murray + healmetoo,Ed Murray + assault,Ed Murray + rape,Ed Murray + harassed,Chuck Close + metoo,Chuck Close + sexual harassment,Chuck Close + sexual,Chuck Close + healmetoo,Chuck Close + assault,Chuck Close + rape,Chuck Close + harassed,Clay Johnson + metoo,Clay Johnson + sexual harassment,Clay Johnson + sexual,Clay Johnson + healmetoo,Clay Johnson + assault,Clay Johnson + rape,Clay Johnson + harassed,Paul Shapiro + metoo,Paul Shapiro + sexual harassment,Paul Shapiro + sexual,Paul Shapiro + healmetoo,Paul Shapiro + assault,Paul Shapiro + rape,Paul Shapiro + harassed,John Moore + metoo,John Moore + sexual harassment,John Moore + sexual,John Moore + healmetoo,John Moore + assault,John Moore + rape,John Moore + harassed,Stephen Henderson + metoo,Stephen Henderson + sexual harassment,Stephen Henderson + sexual,Stephen Henderson + healmetoo,Stephen Henderson + assault,Stephen Henderson + rape,Stephen Henderson + harassed,David Sweeney + metoo,David Sweeney + sexual harassment,David Sweeney + sexual,David Sweeney + healmetoo,David Sweeney + assault,David Sweeney + rape,David Sweeney + harassed,Ed Crane + metoo,Ed Crane + sexual harassment,Ed Crane + sexual,Ed Crane + healmetoo,Ed Crane + assault,Ed Crane + rape,Ed Crane + harassed,Kevin Braun + metoo,Kevin Braun + sexual harassment,Kevin Braun + sexual,Kevin Braun + healmetoo,Kevin Braun + assault,Kevin Braun + rape,Kevin Braun + harassed,Daniel Handler + metoo,Daniel Handler + sexual harassment,Daniel Handler + sexual,Daniel Handler + healmetoo,Daniel Handler + assault,Daniel Handler + rape,Daniel Handler + harassed,Cristiano Ronaldo + metoo,Cristiano Ronaldo + sexual harassment,Cristiano Ronaldo + sexual,Cristiano Ronaldo + healmetoo,Cristiano Ronaldo + assault,Cristiano Ronaldo + rape,Cristiano Ronaldo + harassed,Luc Besson + metoo,Luc Besson + sexual harassment,Luc Besson + sexual,Luc Besson + healmetoo,Luc Besson + assault,Luc Besson + rape,Luc Besson + harassed,Curt Anderson + metoo,Curt Anderson + sexual harassment,Curt Anderson + sexual,Curt Anderson + healmetoo,Curt Anderson + assault,Curt Anderson + rape,Curt Anderson + harassed,Nick Carter + metoo,Nick Carter + sexual harassment,Nick Carter + sexual,Nick Carter + healmetoo,Nick Carter + assault,Nick Carter + rape,Nick Carter + harassed,Sherman Alexie + metoo,Sherman Alexie + sexual harassment,Sherman Alexie + sexual,Sherman Alexie + healmetoo,Sherman Alexie + assault,Sherman Alexie + rape,Sherman Alexie + harassed,Ron Jeremy + metoo,Ron Jeremy + sexual harassment,Ron Jeremy + sexual,Ron Jeremy + healmetoo,Ron Jeremy + assault,Ron Jeremy + rape,Ron Jeremy + harassed,Roy Price + metoo,Roy Price + sexual harassment,Roy Price + sexual,Roy Price + healmetoo,Roy Price + assault,Roy Price + rape,Roy Price + harassed,Donovan McNabb + metoo,Donovan McNabb + sexual harassment,Donovan McNabb + sexual,Donovan McNabb + healmetoo,Donovan McNabb + assault,Donovan McNabb + rape,Donovan McNabb + harassed,Dean Westlake + metoo,Dean Westlake + sexual harassment,Dean Westlake + sexual,Dean Westlake + healmetoo,Dean Westlake + assault,Dean Westlake + rape,Dean Westlake + harassed,David Diaz + metoo,David Diaz + sexual harassment,David Diaz + sexual,David Diaz + healmetoo,David Diaz + assault,David Diaz + rape,David Diaz + harassed,Morgan Freeman + metoo,Morgan Freeman + sexual harassment,Morgan Freeman + sexual,Morgan Freeman + healmetoo,Morgan Freeman + assault,Morgan Freeman + rape,Morgan Freeman + harassed,Michael Meredith + metoo,Michael Meredith + sexual harassment,Michael Meredith + sexual,Michael Meredith + healmetoo,Michael Meredith + assault,Michael Meredith + rape,Michael Meredith + harassed,David Blaine + metoo,David Blaine + sexual harassment,David Blaine + sexual,David Blaine + healmetoo,David Blaine + assault,David Blaine + rape,David Blaine + harassed,Justin Caldbeck + metoo,Justin Caldbeck + sexual harassment,Justin Caldbeck + sexual,Justin Caldbeck + assault,Justin Caldbeck + rape,Justin Caldbeck + harassed,Dustin Hoffman + metoo,Dustin Hoffman + sexual harassment,Dustin Hoffman + sexual,Dustin Hoffman + healmetoo,Dustin Hoffman + assault,Dustin Hoffman + rape,Dustin Hoffman + harassed,Kimberly Guilfoyle + metoo,Kimberly Guilfoyle + sexual harassment,Kimberly Guilfoyle + sexual,Kimberly Guilfoyle + healmetoo,Kimberly Guilfoyle + assault,Kimberly Guilfoyle + rape,Kimberly Guilfoyle + harassed,Bruce Weber + metoo,Bruce Weber + sexual harassment,Bruce Weber + sexual,Bruce Weber + healmetoo,Bruce Weber + assault,Bruce Weber + rape,Bruce Weber + harassed
2019-01-27,14,25,71,41,57,59,28,24,37,72,59,60,60,62,27,30,71,31,58,60,35,12,24,71,24,56,59,24,14,26,71,28,56,59,28,12,24,71,22,56,59,23,12,24,71,44,57,59,25,16,28,71,18,57,59,27,12,24,71,13,56,59,23,12,24,71,17,56,59,23,12,24,71,23,56,59,23,12,24,71,12,56,59,23,13,25,71,33,57,59,27,11,11,32,10,18,30,11,15,27,71,10,57,59,17,12,24,71,32,57,59,23,24,25,72,19,60,60,23,13,25,71,11,56,59,26,20,33,71,59,59,59,49,13,25,71,9,56,59,18,13,25,71,9,56,59,23,12,24,71,10,56,59,23,13,25,71,39,57,59,27,9,11,54,8,31,50,8,13,24,71,58,56,59,25,16,27,71,22,58,59,28,12,24,71,56,59,23,12,15,70,7,51,59,9,14,22,71,4,57,59,8,13,24,71,4,57,59,25
2019-02-03,13,27,71,44,57,56,32,19,33,71,40,59,56,49,31,36,71,39,61,59,44,11,26,71,36,57,56,28,12,27,72,30,57,56,31,11,26,71,29,57,56,27,11,26,71,38,57,56,27,20,35,72,32,60,56,40,11,26,71,15,56,56,27,11,25,71,23,57,56,27,11,25,71,0,57,56,25,11,26,71,6,57,56,26,11,26,71,20,57,56,28,15,15,35,14,21,31,14,14,29,71,9,58,56,17,11,26,72,76,57,56,27,19,23,71,14,59,56,19,13,27,72,14,57,56,30,16,32,71,46,59,56,44,12,26,71,8,57,56,20,11,26,71,7,57,56,25,11,26,71,0,57,56,25,12,27,71,52,57,56,32,10,11,55,8,31,49,9,11,26,71,60,57,56,28,14,29,71,20,58,56,27,11,26,71,57,56,26,12,15,70,7,53,57,9,15,26,71,7,59,57,12,12,26,71,9,57,56,31
2019-02-10,14,27,70,45,52,57,29,16,30,69,27,53,57,37,23,28,69,24,52,57,28,12,25,69,14,52,57,23,14,27,70,33,52,57,29,12,26,70,27,52,57,23,12,26,70,35,52,57,23,17,31,70,19,53,57,29,12,26,69,10,52,56,22,12,26,70,25,52,57,23,12,26,69,5,52,57,21,12,26,70,14,52,57,22,13,26,70,26,52,56,25,11,12,32,11,18,29,11,15,29,70,10,53,57,16,12,26,70,25,52,56,22,21,23,70,16,55,57,19,13,26,70,10,52,57,24,17,31,69,43,53,56,40,13,26,69,7,52,57,16,13,26,69,7,52,57,22,12,26,70,0,52,57,21,13,27,70,53,52,57,28,10,11,54,8,29,49,9,13,26,70,66,52,57,24,15,29,70,18,53,57,24,12,25,70,52,57,22,12,15,69,7,48,57,9,19,28,70,9,55,58,13,13,26,70,10,52,57,28
2019-02-17,16,27,71,53,53,58,32,21,32,72,32,53,58,42,27,31,71,28,53,59,31,15,26,72,38,52,58,26,16,27,72,30,52,58,30,15,26,71,26,52,58,25,15,26,72,40,52,58,26,19,30,71,17,52,58,27,15,26,71,16,52,58,25,15,25,72,20,52,58,25,15,26,71,5,52,58,24,15,26,71,12,52,58,25,15,26,72,21,52,58,27,12,13,34,12,18,30,12,18,30,71,10,53,58,17,15,25,72,19,52,58,24,20,21,71,10,53,58,16,16,27,72,14,52,58,29,20,32,71,46,54,58,42,15,26,72,9,52,58,19,15,25,71,5,52,58,22,14,25,72,0,52,58,24,16,26,72,46,52,58,29,11,12,56,9,30,50,10,15,26,72,46,52,58,25,17,27,71,15,53,58,23,15,26,72,52,58,24,15,17,71,9,49,58,10,19,26,72,7,53,59,11,16,26,72,14,52,58,33
2019-02-24,15,26,72,44,51,54,33,18,30,72,30,52,54,41,29,32,71,31,54,55,36,13,25,72,37,50,54,29,15,27,73,38,51,54,35,13,25,72,36,51,54,29,13,25,72,35,50,54,28,18,30,72,18,51,54,29,13,25,72,9,50,53,27,13,25,72,19,50,54,28,13,25,72,18,50,54,27,13,25,72,10,50,53,27,14,25,72,20,50,54,29,11,11,32,10,17,28,10,20,33,73,18,53,54,25,13,25,72,63,50,53,28,37,35,74,38,59,55,44,14,26,72,11,50,54,29,18,32,72,43,52,54,43,14,26,72,8,50,54,20,13,25,72,5,50,54,24,13,25,72,0,50,54,26,14,26,72,52,51,54,33,10,11,54,9,29,47,9,13,26,72,81,51,54,30,15,27,72,16,51,54,25,13,25,72,50,54,27,13,15,71,8,47,55,10,16,24,72,6,52,54,10,14,25,72,9,51,54,32
2019-03-03,15,27,80,37,52,68,32,19,30,80,29,53,67,41,29,33,79,32,55,68,37,13,26,80,23,52,68,29,15,28,80,34,52,68,35,14,26,80,41,52,67,30,14,26,80,47,52,68,29,17,29,80,18,52,67,30,13,26,80,13,52,67,29,14,26,81,29,52,68,30,13,26,80,18,52,68,27,13,26,80,7,52,67,28,13,26,80,15,52,67,29,11,12,35,11,18,33,11,16,27,80,9,53,67,17,13,26,80,19,52,68,28,23,24,80,17,54,68,22,14,27,80,12,52,68,30,18,32,80,42,53,67,42,14,26,80,10,52,68,21,14,26,80,6,52,68,25,13,26,80,10,52,68,27,14,27,80,49,52,68,33,10,12,60,9,30,58,9,13,26,80,51,52,68,30,16,28,80,16,53,68,26,13,26,81,52,68,28,13,16,79,8,48,68,10,16,24,80,5,53,68,10,14,26,80,8,52,68,32
2019-03-10,15,29,73,41,52,65,28,17,31,72,27,53,65,36,26,31,72,28,54,66,31,13,27,72,24,52,65,23,14,28,73,23,52,65,26,13,28,72,37,53,65,24,13,28,72,66,52,65,25,17,31,72,16,52,65,25,13,27,73,7,52,65,21,13,27,73,25,52,65,23,13,27,73,14,52,65,21,13,27,72,6,52,65,22,13,27,72,10,52,64,22,26,27,45,26,31,43,26,17,31,73,10,53,65,17,13,27,73,19,52,64,21,20,23,72,13,54,65,18,13,28,73,8,52,65,23,18,33,72,47,53,65,42,14,28,73,9,52,65,17,13,27,73,5,52,65,20,13,27,72,0,52,65,21,14,28,72,57,53,65,28,9,11,54,8,28,55,8,13,28,72,58,52,65,24,15,30,72,16,53,65,23,13,27,72,52,65,21,13,17,72,8,48,65,9,18,28,72,7,54,65,11,14,27,72,9,53,65,26
2019-03-17,13,28,72,36,56,57,29,16,32,72,30,57,57,40,24,31,71,27,57,58,31,11,27,72,31,56,57,26,13,30,73,34,56,57,32,12,28,72,36,56,57,26,12,28,72,51,56,57,26,16,32,73,18,57,57,28,12,28,72,37,56,57,28,11,27,72,16,56,57,25,11,27,72,19,56,57,24,11,27,72,8,57,57,24,11,27,73,10,56,57,25,14,15,35,14,21,32,14,16,32,73,13,57,57,20,11,27,72,26,56,57,24,17,23,72,12,58,57,17,13,29,72,11,56,57,27,17,34,72,49,57,57,45,12,29,72,11,56,58,20,12,27,73,5,56,57,23,11,27,72,10,56,57,24,13,30,72,57,57,57,30,10,11,56,8,30,49,9,12,27,73,56,56,57,26,14,30,72,17,57,57,25,11,27,73,56,57,24,11,15,71,7,51,58,9,14,26,72,5,57,58,10,13,30,73,17,57,57,36
2019-03-24,15,28,72,41,54,61,29,19,32,71,29,55,61,38,25,29,70,25,56,63,29,14,27,72,17,54,62,24,15,28,72,26,54,61,29,14,27,72,19,54,61,24,15,27,72,70,54,61,27,17,31,72,17,54,62,26,14,27,72,18,54,61,24,14,27,72,17,54,61,24,14,27,72,5,54,61,23,14,27,72,8,54,61,24,14,27,72,15,54,61,25,14,14,35,13,20,33,13,18,31,72,11,55,61,18,14,27,72,26,54,61,23,20,23,71,12,55,62,16,15,27,72,11,54,62,26,19,34,71,48,56,61,43,14,27,72,6,54,62,17,15,27,72,6,54,61,22,14,27,72,10,54,61,23,15,28,72,52,55,62,29,10,11,54,8,29,53,9,14,27,72,41,54,62,25,20,32,72,26,56,62,30,14,27,72,54,62,23,12,15,70,6,50,62,8,18,27,72,6,55,62,10,15,27,72,8,55,62,28
2019-03-31,25,28,71,41,53,60,32,27,30,71,26,54,60,37,36,32,70,30,55,61,35,23,26,71,18,53,60,28,25,28,71,26,53,60,31,24,27,71,29,53,60,27,24,26,71,39,54,60,28,29,31,72,19,54,61,30,24,27,71,18,53,60,28,24,26,71,20,53,60,28,23,27,71,28,54,60,27,24,27,71,16,53,60,28,23,27,71,14,53,60,28,12,12,32,11,18,30,11,30,33,72,17,55,60,23,23,26,71,26,53,60,27,29,22,71,12,55,60,18,24,27,71,10,53,60,28,26,32,71,43,54,60,41,24,27,71,11,54,60,21,24,27,71,5,53,60,24,23,26,71,21,53,60,27,25,27,71,57,54,60,33,11,11,54,7,29,52,8,24,27,71,44,53,60,28,33,37,73,49,57,61,47,23,26,72,53,60,27,19,16,71,8,49,61,10,23,23,71,3,54,60,8,24,26,72,7,54,60,30
2019-04-07,13,26,69,42,49,59,27,16,28,69,26,50,59,36,26,30,69,30,51,61,32,12,25,69,33,48,59,23,13,26,69,24,48,59,26,11,25,69,29,49,59,23,12,25,69,34,48,59,23,19,32,69,27,51,60,34,11,25,69,14,48,59,22,12,24,69,29,49,59,23,11,25,69,18,49,59,21,11,25,69,17,49,59,23,12,25,69,17,48,59,23,13,13,32,12,18,31,12,17,30,69,15,50,59,21,11,25,69,19,49,59,21,17,21,69,12,50,60,16,13,26,69,11,48,59,25,16,31,69,44,51,59,40,12,25,70,8,48,59,17,12,25,69,5,48,59,19,11,25,69,0,49,59,21,12,25,69,38,49,59,25,9,10,52,7,27,51,8,12,25,69,60,49,59,23,16,28,69,23,50,60,27,11,25,70,49,59,21,12,15,68,7,45,60,8,14,23,69,5,50,60,9,12,24,70,7,49,59,25
2019-04-14,14,27,65,45,48,60,29,17,31,65,30,49,59,37,24,29,64,26,49,60,29,12,26,65,27,47,59,23,13,27,65,21,47,59,25,12,27,65,34,48,59,23,12,26,65,42,48,59,23,16,31,65,19,48,60,27,12,26,65,10,47,59,22,12,26,65,18,48,59,22,12,26,65,19,48,59,21,12,26,65,9,48,59,22,12,26,65,15,48,59,23,15,16,34,15,21,32,15,15,28,65,10,48,59,17,12,26,65,20,48,59,22,19,23,65,13,49,59,18,13,27,65,11,48,59,24,18,33,65,49,50,59,43,13,27,65,11,48,60,18,13,27,65,8,48,60,22,12,26,65,0,48,59,21,12,27,65,38,48,60,25,9,11,49,7,26,50,8,12,27,65,48,48,60,23,14,28,65,16,49,59,23,12,26,65,48,59,22,12,15,63,7,44,60,9,13,23,65,3,48,60,7,12,26,65,5,48,60,24
2019-04-21,13,30,70,37,49,58,28,16,32,70,27,50,58,37,25,33,70,29,52,59,32,12,29,71,46,49,58,27,13,32,71,32,49,58,31,12,29,71,38,49,58,25,11,28,71,35,49,58,25,17,35,71,23,49,58,32,12,29,71,23,49,58,25,11,28,71,23,49,58,25,11,28,70,19,49,58,23,11,28,71,7,49,58,24,11,29,71,14,49,58,24,10,11,31,10,17,29,10,15,33,71,11,50,58,18,11,29,71,53,49,58,24,17,24,71,12,50,58,17,12,29,71,9,49,58,25,15,34,70,43,50,58,40,12,29,71,10,49,58,19,17,36,71,40,51,59,45,11,28,71,0,49,58,23,12,29,71,39,49,58,27,9,11,53,7,27,50,8,12,29,71,60,49,58,26,13,31,71,14,50,58,22,11,28,71,49,58,24,11,16,69,6,45,58,8,15,29,72,7,51,58,11,12,28,71,5,49,58,26
2019-04-28,13,29,69,48,50,61,29,15,31,68,27,50,60,36,23,29,67,25,50,62,28,12,28,68,33,49,61,24,13,28,68,22,49,60,25,11,28,68,36,49,61,23,12,27,68,38,49,60,23,16,33,68,20,50,61,29,12,28,68,18,49,60,23,11,27,69,16,49,60,22,11,28,68,28,49,60,22,11,27,68,12,49,61,22,12,27,68,11,49,60,23,13,14,33,13,19,32,13,14,30,69,9,50,60,16,11,27,68,19,49,60,22,18,24,69,13,50,61,17,13,28,68,12,49,60,25,18,35,68,55,51,61,47,12,28,69,6,49,61,16,11,27,68,3,49,61,19,11,27,68,10,49,60,22,12,28,68,24,49,61,24,9,11,52,8,27,52,9,12,28,68,70,49,61,24,14,30,68,16,50,61,23,11,27,68,49,60,21,10,15,67,5,44,60,8,19,30,69,10,52,61,14,12,27,68,4,49,61,24
2019-05-05,12,27,66,39,46,58,28,19,34,66,45,49,57,50,23,28,65,26,48,58,29,10,26,66,16,45,57,22,12,27,66,29,46,57,28,10,26,66,27,46,57,23,10,26,66,38,46,57,23,14,29,66,17,47,58,26,10,26,66,10,46,57,22,10,26,66,19,46,57,23,10,26,66,14,46,57,21,10,26,66,9,46,57,22,10,26,66,8,46,57,23,11,12,30,11,17,29,11,14,28,66,10,47,57,16,10,26,66,32,46,57,22,15,21,65,11,47,57,16,11,27,66,12,46,57,25,18,34,66,55,49,58,47,11,27,66,11,46,57,18,10,26,66,5,46,57,20,10,26,66,10,46,57,22,11,27,66,42,46,57,27,8,10,49,7,25,49,7,11,26,66,73,46,57,25,12,27,65,14,47,58,21,10,26,66,46,58,22,10,14,65,6,42,57,8,12,23,66,4,47,58,8,11,25,66,5,46,57,24
2019-05-12,11,26,71,40,50,69,30,15,30,71,30,51,69,41,23,29,70,27,51,70,31,10,25,71,40,50,69,27,11,26,71,27,50,69,29,10,25,71,28,50,68,26,10,25,71,34,50,69,26,15,30,72,19,50,69,29,10,25,71,6,50,69,24,10,25,71,9,50,69,24,10,25,71,5,50,69,24,10,25,71,10,50,69,25,10,25,71,15,50,69,26,10,10,32,9,16,34,9,15,30,71,14,51,69,20,10,25,71,26,50,69,24,17,22,71,13,51,69,19,11,26,71,10,50,68,26,16,32,71,46,51,69,43,10,25,71,7,50,69,18,10,25,71,5,50,69,22,10,25,71,0,50,69,24,11,26,71,50,50,69,29,8,10,54,6,26,58,7,10,26,71,71,50,69,28,12,28,71,18,51,68,25,9,25,72,50,69,24,10,15,70,6,46,69,8,12,23,71,4,51,69,9,10,25,71,3,50,69,25
2019-05-19,13,26,68,56,47,61,34,14,27,67,26,47,61,37,23,28,67,26,48,62,29,11,23,68,17,46,61,26,12,25,68,21,46,61,28,11,24,68,18,46,61,25,11,24,68,24,46,61,25,14,27,68,17,47,62,27,10,24,68,3,46,61,24,11,24,68,12,46,62,25,10,24,67,5,46,61,24,10,24,68,7,46,61,26,11,23,68,9,46,61,25,10,11,30,10,16,30,10,15,26,68,11,47,62,18,10,24,68,19,46,61,25,22,25,68,21,50,62,25,12,24,68,9,46,61,26,16,30,68,43,48,61,42,12,24,68,9,46,61,19,14,27,68,27,47,62,37,10,24,68,0,46,61,24,12,24,68,48,46,62,30,9,10,52,7,26,52,8,11,24,68,66,46,62,27,14,26,68,19,47,62,27,10,24,68,46,62,24,10,13,67,6,42,61,8,12,21,68,3,47,61,8,11,23,68,4,46,61,27
2019-05-26,13,23,70,54,47,55,27,15,26,69,30,47,55,36,25,28,69,29,49,57,31,10,20,69,21,46,56,18,11,22,70,19,46,56,21,10,20,69,26,46,55,18,10,20,70,32,46,55,19,14,26,70,18,47,56,24,10,20,69,15,46,55,19,10,20,70,17,46,55,18,10,20,70,23,46,55,18,10,20,69,10,46,55,18,10,20,70,9,46,55,18,10,10,31,9,16,28,9,14,25,69,12,47,56,16,10,20,70,13,46,55,17,19,21,70,16,49,56,19,11,22,69,9,46,55,20,15,27,70,44,47,56,38,11,22,70,10,46,56,15,13,25,70,25,47,56,31,10,20,70,21,46,56,17,11,22,69,50,46,55,23,10,11,54,8,27,47,9,10,21,70,61,46,55,20,14,25,69,20,47,56,23,10,20,70,46,55,17,11,13,68,6,43,56,8,14,22,70,7,48,56,10,10,21,70,5,46,55,20
2019-06-02,11,23,69,44,45,64,30,14,26,68,28,46,65,38,23,28,68,29,48,66,32,9,22,69,27,44,65,25,10,23,69,22,45,64,26,9,22,69,33,45,64,26,9,22,69,23,45,64,24,14,25,68,18,45,65,27,9,22,69,16,44,64,24,9,22,69,21,45,64,25,9,22,68,0,44,64,23,9,22,69,12,44,64,25,9,22,69,7,44,64,24,14,14,33,13,19,35,14,12,24,68,9,45,64,17,9,22,69,25,44,64,24,15,19,68,12,47,65,17,9,22,69,6,44,64,23,14,27,68,42,46,64,39,10,23,69,11,45,65,19,10,22,69,8,45,65,24,9,22,69,10,44,64,24,10,23,69,53,45,65,30,9,10,52,7,25,55,8,9,22,69,67,44,65,26,15,29,69,34,48,65,36,9,22,69,44,65,24,9,13,67,6,40,64,8,12,21,69,5,46,65,9,9,21,69,3,45,64,25
2019-06-09,10,23,69,39,47,63,27,15,27,69,30,49,63,39,21,27,68,26,48,63,29,9,22,69,14,46,63,22,10,23,69,17,46,63,23,9,22,69,14,47,63,21,9,22,69,40,47,63,23,14,26,69,19,47,63,27,9,22,69,12,46,63,22,9,22,69,16,47,63,22,9,22,69,14,47,63,21,9,22,69,12,47,63,22,9,22,69,9,47,62,22,13,14,32,13,19,33,13,14,26,69,12,48,63,18,9,22,69,25,47,63,21,16,19,69,12,48,63,17,9,22,69,4,46,63,20,14,29,69,47,49,62,41,10,23,69,8,46,63,17,9,23,69,6,47,63,20,9,22,69,0,47,63,21,11,24,69,82,48,63,31,8,10,52,7,26,53,7,9,22,69,38,47,63,23,15,28,70,30,49,64,33,9,22,69,47,63,21,9,13,68,6,43,63,8,11,20,69,4,47,63,8,9,22,69,3,47,63,22
2019-06-16,10,22,65,42,47,60,30,14,25,66,28,48,60,39,22,26,66,27,49,61,30,9,21,65,40,47,60,27,10,22,66,23,47,60,28,9,20,66,29,47,60,26,8,20,66,38,47,60,26,13,24,66,16,47,60,26,8,20,66,19,47,60,25,8,20,66,17,47,60,26,8,20,66,18,47,60,25,8,20,66,18,47,60,26,8,20,66,10,47,60,26,10,10,29,9,16,29,9,16,28,67,18,49,60,25,8,20,66,45,47,60,25,16,19,66,13,49,60,19,9,21,66,7,46,60,24,14,28,65,47,49,60,44,9,21,66,8,47,60,19,9,21,65,4,47,60,22,8,20,66,10,47,60,24,10,22,66,68,47,60,33,8,9,50,7,26,51,7,9,22,66,77,47,60,28,16,29,67,38,50,61,39,8,20,66,47,60,25,9,13,65,7,43,60,9,12,21,66,6,48,60,11,9,21,66,4,47,60,27
2019-06-23,11,22,67,41,47,59,26,14,25,66,26,48,60,34,23,27,66,28,49,60,30,9,20,66,19,47,59,21,11,22,67,21,47,59,23,10,20,67,28,47,59,20,10,20,67,47,47,59,22,14,24,67,16,47,59,25,9,20,67,14,47,59,21,9,20,67,17,47,59,20,9,20,67,5,47,59,20,9,20,67,14,47,59,21,9,20,67,7,47,59,20,10,11,30,10,16,30,10,16,28,68,17,49,60,21,9,20,67,6,47,59,20,15,19,66,12,48,59,16,10,21,66,4,47,59,18,15,27,67,46,49,59,41,10,22,67,7,47,59,16,10,21,66,5,47,60,18,9,20,67,10,47,59,20,11,22,67,61,47,60,27,8,9,51,6,26,50,7,10,22,67,58,47,59,22,13,25,67,22,48,60,25,9,20,67,47,59,20,10,13,66,7,43,60,8,11,19,66,3,47,59,6,10,20,67,3,47,59,21
2019-06-30,10,21,63,37,43,57,25,14,25,64,30,44,57,36,21,26,63,26,46,58,28,9,19,64,19,42,57,20,10,19,64,17,42,57,21,9,19,63,23,42,57,20,9,19,64,43,42,57,21,12,23,64,14,43,57,22,9,20,64,39,42,57,23,9,19,64,19,42,57,20,9,19,63,19,42,57,19,9,19,63,37,42,57,22,9,19,64,9,42,56,19,10,10,29,9,15,28,10,17,28,64,20,46,57,24,8,19,64,13,42,56,19,13,17,63,9,44,57,14,9,19,64,3,42,56,17,15,27,64,48,45,57,41,9,19,64,8,42,57,15,9,19,63,5,42,57,18,8,19,64,0,42,57,19,10,20,63,44,43,57,24,8,9,48,7,24,49,7,9,19,64,41,42,57,21,12,23,64,18,44,57,22,8,19,64,42,57,19,9,12,63,7,40,57,8,11,19,64,4,43,57,8,9,19,64,4,43,57,21
2019-07-07,11,24,68,45,46,58,27,15,27,67,30,48,58,37,23,27,66,27,49,59,30,10,23,68,37,46,58,21,10,23,68,14,46,58,20,10,23,68,34,46,58,21,10,23,68,62,47,58,22,13,26,67,17,47,58,24,10,23,68,34,47,57,22,10,23,68,23,46,58,21,9,23,68,42,46,58,20,9,23,68,16,46,58,20,10,23,68,12,46,57,20,9,10,29,9,15,28,9,25,39,70,35,51,59,38,9,23,68,6,46,57,19,15,19,67,11,48,58,15,10,23,68,6,46,58,19,15,30,68,46,48,58,41,10,24,68,9,47,58,16,10,23,68,4,46,58,17,9,23,68,0,46,58,19,11,24,68,57,47,58,26,9,10,51,7,26,49,8,10,23,68,53,46,58,21,12,25,68,17,47,58,22,9,23,68,46,58,19,11,14,66,7,43,58,9,12,22,68,5,47,58,9,10,23,68,6,47,58,23
2019-07-14,12,25,68,46,47,56,27,15,28,67,30,48,56,37,23,28,66,27,49,56,29,10,23,67,32,46,56,21,11,25,68,24,46,56,25,10,23,67,26,46,56,21,10,24,67,41,46,56,21,14,26,67,16,47,56,23,10,24,67,26,46,56,22,10,23,68,15,46,56,20,10,23,67,9,46,56,19,10,23,67,9,46,56,19,10,24,67,13,46,55,21,9,9,29,8,15,27,8,23,36,69,30,51,57,32,10,23,67,13,46,56,19,16,20,67,12,48,56,16,10,23,67,6,46,55,19,14,29,67,44,48,56,39,10,24,68,7,46,56,15,10,23,67,4,46,56,17,10,23,67,21,46,56,19,11,24,67,50,47,56,25,10,11,51,9,27,49,9,10,23,67,34,46,56,21,12,26,67,16,47,55,21,9,23,68,46,56,19,12,15,66,8,44,56,9,13,22,67,5,47,56,9,10,23,67,4,46,56,21
2019-07-21,13,23,63,51,53,53,31,15,26,63,29,54,53,38,24,28,63,29,56,54,33,10,21,63,18,53,53,24,12,23,63,18,53,53,25,11,22,63,28,53,53,25,11,22,63,42,53,53,25,16,27,63,23,55,53,32,11,21,63,15,53,53,24,11,20,63,14,53,53,23,10,21,63,14,53,53,23,10,21,63,8,53,53,23,11,21,63,10,53,52,24,10,11,29,10,17,27,10,19,31,65,22,56,53,27,10,21,63,33,53,53,23,16,18,63,10,54,53,15,11,22,63,5,53,53,22,15,27,63,40,55,53,39,11,22,63,7,53,53,17,11,22,63,5,53,53,22,10,21,63,0,53,53,22,12,23,63,55,54,53,29,9,10,48,8,29,45,8,10,21,63,35,53,53,24,12,23,63,13,53,53,21,10,21,63,53,53,23,11,13,63,7,49,53,9,12,20,63,4,54,53,8,11,20,63,4,53,53,25
