date,David Bellemere,Greg Kadel,Karl Templer,Patrick Demarchelier,Seth Sabal,Nicholas Kettle,Paul Haggis,Terdema Ussery,T.J. Miller,Eric Weinberger,Michael Feinberg,Philip Berk,David Sawyer,John Moore,Jorge Domínguez,Jorge I. Domínguez,Blake Farenthold,Duane Hall,Johnny Iuzzini,Tony Tooke
2017-10-01,0.01,0.00336,0.0011200000000000001,0.03,0.0,0.0,0.11428571428571428,0.0,0.04,0.0,0.0044800000000000005,0.0,0.02016,0.3673469387755102,0.011200000000000002,0.0,0.0,0.008960000000000001,0.0,0.0011200000000000001
2017-10-08,0.01,0.00336,0.0011200000000000001,0.05,0.0,0.0,0.17142857142857143,0.0,0.02,0.0,0.00336,0.0,0.02688,0.3673469387755102,0.00672,0.0,0.01,0.0044800000000000005,0.01,0.0044800000000000005
2017-10-15,0.03,0.0011200000000000001,0.00336,0.03,0.0016576,0.0,0.11428571428571428,0.0,0.04,0.0,0.01008,0.0,0.015680000000000003,0.40816326530612246,0.00672,0.0,0.01,0.0044800000000000005,0.0,0.0
2017-10-22,0.02,0.00336,0.0011200000000000001,0.03,0.0016576,0.0,0.08571428571428572,0.0,0.02,0.03,0.0044800000000000005,0.0,0.01456,0.3877551020408163,0.0044800000000000005,0.0,0.01,0.00336,0.0,0.0
2017-10-29,0.11,0.007840000000000001,0.00672,0.03,0.0016576,0.0,0.07142857142857142,0.0,0.04,0.02,0.0044800000000000005,0.0,0.01904,0.40816326530612246,0.011200000000000002,0.0,0.01,0.0011200000000000001,0.0,0.00336
2017-11-05,0.06,0.0011200000000000001,0.0,0.03,0.0,0.0,0.07142857142857142,0.0,0.05,0.0,0.005600000000000001,0.0,0.02016,0.5306122448979592,0.00336,0.0,0.01,0.00336,0.0,0.0
2017-11-12,0.1,0.00336,0.0011200000000000001,0.04,0.0,0.0,0.05714285714285714,0.0,0.05,0.0,0.00336,0.0,0.01904,0.5306122448979592,0.01008,0.0,0.02,0.0044800000000000005,0.0,0.0011200000000000001
2017-11-19,0.03,0.0011200000000000001,0.0011200000000000001,0.02,0.0,0.0,0.05714285714285714,0.0,0.03,0.0,0.0011200000000000001,0.0,0.028,0.4897959183673469,0.008960000000000001,0.0,0.01,0.0,0.01,0.0
2017-11-26,0.02,0.00336,0.0011200000000000001,0.03,0.0,0.0,0.05714285714285714,0.0,0.03,0.01,0.0044800000000000005,0.0,0.02912,0.4489795918367347,0.007840000000000001,0.0,0.5,0.0,0.05,0.0011200000000000001
2017-12-03,0.02,0.0,0.0011200000000000001,0.04,0.0,0.0,0.04285714285714286,0.0,0.03,0.0,0.0,0.0,0.02128,0.5102040816326531,0.008960000000000001,0.0,0.62,0.007840000000000001,0.06,0.00336
2017-12-10,0.02,0.00336,0.0,0.02,0.0,0.0,0.05714285714285714,0.0,0.02,0.38,0.0,0.0,0.01344,0.673469387755102,0.005600000000000001,0.0,0.8,0.00336,0.6,0.00336
2017-12-17,0.02,0.00336,0.0044800000000000005,0.03,0.0,0.0,0.07142857142857142,0.0,0.24,0.04,0.00336,0.0,0.01456,0.42857142857142855,0.0044800000000000005,0.0,0.1,0.00672,0.15,0.0011200000000000001
2017-12-24,0.02,0.0022400000000000002,0.0,0.04,0.0,0.0,0.02857142857142857,0.0,0.05,0.01,0.005600000000000001,0.0,0.02016,0.3877551020408163,0.00336,0.0,0.03,0.00336,0.08,0.0
2017-12-31,0.02,0.0044800000000000005,0.0,0.03,0.0,0.0,1.4285714285714286,0.0,0.03,0.02,0.0011200000000000001,0.0,0.017920000000000002,0.3877551020408163,0.007840000000000001,0.0,0.02,0.008960000000000001,0.02,0.012320000000000001
2018-01-07,0.02,0.0,0.007840000000000001,0.03,0.0,0.0,0.32857142857142857,0.0,0.13,0.0,0.0011200000000000001,0.0,0.015680000000000003,0.3469387755102041,0.0011200000000000001,0.0,0.02,0.0011200000000000001,0.03,0.017920000000000002
2018-01-14,0.02,0.0011200000000000001,0.0011200000000000001,0.02,0.0,0.02,0.21428571428571427,0.0,0.04,0.0,0.00336,0.0,0.01456,0.3673469387755102,0.005600000000000001,0.0,0.02,0.0044800000000000005,0.01,0.011200000000000002
2018-01-21,0.03,0.0011200000000000001,0.00672,0.03,0.0012431999999999999,0.0,0.11428571428571428,0.0,0.02,0.0,0.00336,0.0,0.02688,0.40816326530612246,0.005600000000000001,0.0,0.01,0.0044800000000000005,0.0,0.0011200000000000001
2018-01-28,0.02,0.00336,0.00336,0.02,0.0,0.0,0.08571428571428572,0.0,0.03,0.0,0.00336,0.0,0.028,0.3673469387755102,0.007840000000000001,0.0,0.01,0.0044800000000000005,0.01,0.0044800000000000005
2018-02-04,0.03,0.00336,0.0044800000000000005,0.03,0.0,0.0,0.04285714285714286,0.0,0.05,0.01,0.005600000000000001,0.0,0.01008,0.3673469387755102,0.007840000000000001,0.0,0.02,0.01008,0.01,0.0
2018-02-11,0.04,0.02576,0.044800000000000006,0.15,0.0029008000000000003,0.02,0.04285714285714286,0.0,0.05,0.01,0.0011200000000000001,0.0,0.0168,0.3673469387755102,0.007840000000000001,0.0,0.02,0.00336,0.02,0.00336
2018-02-18,0.06,0.03472,0.03696,0.12,0.0058016000000000005,0.15,0.04285714285714286,1.2195121951219512,0.06,0.0,0.028,1.5151515151515151,0.028,0.3673469387755102,0.007840000000000001,0.0,0.01,0.00336,0.01,0.0011200000000000001
