date,Charlie Walk,Dayan Candappa,John Copley,John Conyers Jr.,Jeff Franklin,Lawrence M. Krauss,Paul Marciano,Charlie Walk,Dayan Candappa,Charlie Walk,Dayan Candappa,John Copley,John Conyers Jr.,Jeff Franklin,Lawrence M. Krauss,Paul Marciano,Vincent Cirrincione,Bradley Garner,Daniel Zwerdling,Charlie Walk,Dayan Candappa,John Copley,John Conyers Jr.,Jeff Franklin,Lawrence M. Krauss,Paul Marciano,Vincent Cirrincione,Bradley Garner,Daniel Zwerdling,Alec Klein,Javier Palomarez,Paul Shapiro,Ed Crane,Charlie Walk,Dayan Candappa,John Copley,John Conyers Jr.,Jeff Franklin,Lawrence M. Krauss,Paul Marciano,Vincent Cirrincione,Bradley Garner,Daniel Zwerdling,Alec Klein,Javier Palomarez,Paul Shapiro,Ed Crane,Sean Hutchison,Wayne Pacelle,Steve Wynn,Eric Greitens,Andre Passos
2017-12-10,0.09195402298850575,0.0,0.02128,0.0016576,0.03,0.0033152,0.07,0.09195402298850575,0.0,0.09195402298850575,0.0,0.02128,0.0016576,0.03,0.0033152,0.07,0.0,0.0,0.0,0.09195402298850575,0.0,0.02128,0.0016576,0.03,0.0033152,0.07,0.0,0.0,0.0,0.00336,0.0011200000000000001,0.028,0.00672,0.09195402298850575,0.0,0.02128,0.0016576,0.03,0.0033152,0.07,0.0,0.0,0.0,0.00336,0.0011200000000000001,0.028,0.00672,0.0,0.0,0.08,0.05263157894736842,0.0011200000000000001
2017-12-17,0.10344827586206896,0.0,0.0168,0.0033152,0.03,0.0,0.03,0.10344827586206896,0.0,0.10344827586206896,0.0,0.0168,0.0033152,0.03,0.0,0.03,0.0,0.0,0.0,0.10344827586206896,0.0,0.0168,0.0033152,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0011200000000000001,0.028,0.007840000000000001,0.10344827586206896,0.0,0.0168,0.0033152,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0011200000000000001,0.028,0.007840000000000001,0.0,0.01,0.08,0.02631578947368421,0.0011200000000000001
2017-12-24,0.06896551724137931,0.0,0.011200000000000002,0.0,0.04,0.0,0.02,0.06896551724137931,0.0,0.06896551724137931,0.0,0.011200000000000002,0.0,0.04,0.0,0.02,0.0,0.01,0.0,0.06896551724137931,0.0,0.011200000000000002,0.0,0.04,0.0,0.02,0.0,0.01,0.0,0.0022400000000000002,0.0,0.022400000000000003,0.00336,0.06896551724137931,0.0,0.011200000000000002,0.0,0.04,0.0,0.02,0.0,0.01,0.0,0.0022400000000000002,0.0,0.022400000000000003,0.00336,0.0,0.01,0.12,0.02631578947368421,0.00336
2017-12-31,0.4367816091954023,0.0,0.01344,0.0,0.04,0.0033152,0.03,0.4367816091954023,0.0,0.4367816091954023,0.0,0.01344,0.0,0.04,0.0033152,0.03,0.0,0.01,0.0,0.4367816091954023,0.0,0.01344,0.0,0.04,0.0033152,0.03,0.0,0.01,0.0,0.0011200000000000001,0.0,0.06495999999999999,0.0044800000000000005,0.4367816091954023,0.0,0.01344,0.0,0.04,0.0033152,0.03,0.0,0.01,0.0,0.0011200000000000001,0.0,0.06495999999999999,0.0044800000000000005,0.0,0.01,0.08,0.02631578947368421,0.00336
2018-01-07,0.3333333333333333,0.0,0.011200000000000002,0.0,0.03,0.0045584,0.02,0.3333333333333333,0.0,0.3333333333333333,0.0,0.011200000000000002,0.0,0.03,0.0045584,0.02,0.0,0.01,0.0,0.3333333333333333,0.0,0.011200000000000002,0.0,0.03,0.0045584,0.02,0.0,0.01,0.0,0.0011200000000000001,0.00336,0.0336,0.007840000000000001,0.3333333333333333,0.0,0.011200000000000002,0.0,0.03,0.0045584,0.02,0.0,0.01,0.0,0.0011200000000000001,0.00336,0.0336,0.007840000000000001,0.0,0.0,0.24,2.1052631578947367,0.0011200000000000001
2018-01-14,0.25287356321839083,0.0011200000000000001,0.028,0.0,0.04,0.0016576,0.02,0.25287356321839083,0.0011200000000000001,0.25287356321839083,0.0011200000000000001,0.028,0.0,0.04,0.0016576,0.02,0.0,0.01,0.0,0.25287356321839083,0.0011200000000000001,0.028,0.0,0.04,0.0016576,0.02,0.0,0.01,0.0,0.00336,0.0011200000000000001,0.0392,0.008960000000000001,0.25287356321839083,0.0011200000000000001,0.028,0.0,0.04,0.0016576,0.02,0.0,0.01,0.0,0.00336,0.0011200000000000001,0.0392,0.008960000000000001,0.0,0.0,0.16,0.7105263157894737,0.00336
2018-01-21,0.20689655172413793,0.0011200000000000001,0.02016,0.0,0.05,0.0,0.02,0.20689655172413793,0.0011200000000000001,0.20689655172413793,0.0011200000000000001,0.02016,0.0,0.05,0.0,0.02,0.0,0.01,0.0,0.20689655172413793,0.0011200000000000001,0.02016,0.0,0.05,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.04032,0.01344,0.20689655172413793,0.0011200000000000001,0.02016,0.0,0.05,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.04032,0.01344,0.0,0.02,4.0,0.39473684210526316,0.005600000000000001
2018-01-28,1.1494252873563218,0.02688,0.06944,0.0016576,0.03,0.0,0.74,1.1494252873563218,0.02688,1.1494252873563218,0.02688,0.06944,0.0016576,0.03,0.0,0.74,0.15,0.01,0.0,1.1494252873563218,0.02688,0.06944,0.0016576,0.03,0.0,0.74,0.15,0.01,0.0,0.0,0.0,0.0672,0.005600000000000001,1.1494252873563218,0.02688,0.06944,0.0016576,0.03,0.0,0.74,0.15,0.01,0.0,0.0,0.0,0.0672,0.005600000000000001,0.0,0.33,3.48,0.13157894736842105,0.00336
2018-02-04,1.103448275862069,0.007840000000000001,0.02688,0.0,0.04,0.0016576,0.97,1.103448275862069,0.007840000000000001,1.103448275862069,0.007840000000000001,0.02688,0.0,0.04,0.0016576,0.97,0.34,0.07,0.035840000000000004,1.103448275862069,0.007840000000000001,0.02688,0.0,0.04,0.0016576,0.97,0.34,0.07,0.035840000000000004,0.06608,0.0011200000000000001,0.0504,0.03472,1.103448275862069,0.007840000000000001,0.02688,0.0,0.04,0.0016576,0.97,0.34,0.07,0.035840000000000004,0.06608,0.0011200000000000001,0.0504,0.03472,0.26,0.1,2.24,0.10526315789473684,0.0011200000000000001
2018-02-11,0.4367816091954023,0.0044800000000000005,0.02912,0.0,0.03,0.0016576,0.17,0.4367816091954023,0.0044800000000000005,0.4367816091954023,0.0044800000000000005,0.02912,0.0,0.03,0.0016576,0.17,0.01,0.01,0.0011200000000000001,0.4367816091954023,0.0044800000000000005,0.02912,0.0,0.03,0.0016576,0.17,0.01,0.01,0.0011200000000000001,0.012320000000000001,0.03808,0.035840000000000004,0.01344,0.4367816091954023,0.0044800000000000005,0.02912,0.0,0.03,0.0016576,0.17,0.01,0.01,0.0011200000000000001,0.012320000000000001,0.03808,0.035840000000000004,0.01344,0.08,0.03,0.56,0.07894736842105263,0.012320000000000001
2018-02-18,0.1724137931034483,0.00336,0.01904,0.0,0.04,0.0016576,0.11,0.1724137931034483,0.00336,0.1724137931034483,0.00336,0.01904,0.0,0.04,0.0016576,0.11,0.01,0.01,0.008960000000000001,0.1724137931034483,0.00336,0.01904,0.0,0.04,0.0016576,0.11,0.01,0.01,0.008960000000000001,0.00336,0.005600000000000001,0.04032,0.007840000000000001,0.1724137931034483,0.00336,0.01904,0.0,0.04,0.0016576,0.11,0.01,0.01,0.008960000000000001,0.00336,0.005600000000000001,0.04032,0.007840000000000001,0.04,0.03,0.24,2.6315789473684212,0.008960000000000001
2018-02-25,0.08045977011494253,0.0,0.015680000000000003,0.0016576,0.29,0.0045584,0.05,0.08045977011494253,0.0,0.08045977011494253,0.0,0.015680000000000003,0.0016576,0.29,0.0045584,0.05,0.01,0.02,0.0,0.08045977011494253,0.0,0.015680000000000003,0.0016576,0.29,0.0045584,0.05,0.01,0.02,0.0,0.00336,0.0044800000000000005,0.030240000000000003,0.005600000000000001,0.08045977011494253,0.0,0.015680000000000003,0.0016576,0.29,0.0045584,0.05,0.01,0.02,0.0,0.00336,0.0044800000000000005,0.030240000000000003,0.005600000000000001,0.01,0.02,0.4,0.5263157894736842,0.0044800000000000005
2018-03-04,0.09195402298850575,0.0,0.02128,0.0,0.39,0.007459199999999999,0.04,0.09195402298850575,0.0,0.09195402298850575,0.0,0.02128,0.0,0.39,0.007459199999999999,0.04,0.0,0.01,0.0,0.09195402298850575,0.0,0.02128,0.0,0.39,0.007459199999999999,0.04,0.0,0.01,0.0,0.00336,0.0044800000000000005,0.03472,0.00336,0.09195402298850575,0.0,0.02128,0.0,0.39,0.007459199999999999,0.04,0.0,0.01,0.0,0.00336,0.0044800000000000005,0.03472,0.00336,0.02,0.01,0.2,0.21052631578947367,0.00672
